e,t,w,r,c,k
2,2.56143827,0.128660063,0.505496003,A,2
0,0.095180473,0.177898401,0.600401552,A,3
1,5.345122849,0.118333136,0.480921344,A,2
2,2.384192874,0.312894978,0.745607127,A,5
1,1.243401695,0.188586802,0.617015275,A,4
2,1.377850831,0.119052899,0.482695881,A,2
0,8.826173086,0.200883854,0.634698212,A,4
1,8.372351761,0.222090545,0.662003088,A,4
0,1.315175276,0.208110215,0.644432253,A,4
1,3.736407729,0.146291312,0.543377988,A,2
1,0.353516402,0.302616929,0.738214045,A,5
2,2.547410158,0.193193557,0.623811598,A,4
1,2.130456738,0.128928637,0.506110423,A,2
0,10,0.068161189,0.32991071,A,1
1,3.145904544,0.259233097,0.701759821,A,5
2,0.012413347,0.162354438,0.573942607,A,3
0,1.071839081,0.164231854,0.577293008,A,3
1,0.293742335,0.241118801,0.683519656,A,5
1,1.014039622,0.22957821,0.670781141,A,4
1,5.723197212,0.209624075,0.64641327,A,4
1,0.881432923,0.238733109,0.680961557,A,5
0,1.843432416,0.226016905,0.666658512,A,4
2,0.285169403,0.170303352,0.58783102,A,3
0,10,0.074590608,0.352685238,A,1
1,4.208681037,0.211809138,0.649238119,A,4
0,0.286911625,0.161629032,0.572636154,A,3
0,1.317025027,0.155312168,0.560971824,A,3
2,6.770926579,0.091785499,0.408269714,A,1
2,1.49700508,0.136523295,0.522992944,A,2
1,2.567493685,0.195377171,0.626960045,A,4
2,0.46796524,0.284640534,0.724212925,A,5
1,0.034307636,0.158640429,0.567182586,A,3
1,4.646032979,0.193025813,0.623567816,A,4
2,4.133785176,0.161779333,0.572907394,A,3
0,10,0.095290627,0.418722532,A,1
2,4.062304203,0.140016105,0.530448472,A,2
2,0.884256933,0.141180512,0.53289219,A,2
1,4.510860599,0.16142327,0.572264359,A,3
1,3.72784414,0.256663382,0.69929365,A,5
1,7.365331495,0.224309227,0.664648148,A,4
2,1.681973264,0.154770882,0.559947794,A,3
1,4.87937444,0.149367634,0.549506007,A,3
1,2.393998522,0.21844639,0.657575721,A,4
2,3.626884889,0.206524812,0.642336342,A,4
2,1.168931486,0.125493379,0.498159071,A,2
2,1.670833235,0.124556224,0.495954661,A,2
2,2.809067424,0.191251261,0.620971916,A,4
1,0.674936101,0.224790408,0.665216846,A,4
1,1.122308764,0.158035042,0.566063774,A,3
2,2.569484338,0.235144065,0.677040377,A,5
1,2.34952846,0.193833129,0.62473856,A,4
1,4.210464752,0.129404702,0.507196545,A,2
0,2.495762757,0.189464781,0.618326942,A,4
2,0.666799429,0.105215438,0.446845955,A,1
1,0.436145239,0.293232192,0.731083059,A,5
1,1.597420926,0.365006528,0.777444373,A,5
1,2.521124411,0.142717434,0.536086296,A,2
0,3.109868662,0.108864221,0.456664247,A,1
1,1.248014554,0.207606224,0.643768347,A,4
1,2.760618058,0.156606053,0.563403748,A,3
0,0.387465967,0.431989976,0.808053089,A,5
2,1.426079995,0.162724612,0.574606721,A,3
1,5.372872333,0.217816077,0.656799302,A,4
1,0.526225669,0.167160786,0.582432513,A,3
2,3.255859064,0.122786367,0.491749595,A,2
1,4.856785,0.178265177,0.60099205,A,3
0,2.438349277,0.080300177,0.371970969,A,1
1,2.175035639,0.297072799,0.734046997,A,5
0,3.199142399,0.17574896,0.596910821,A,3
1,2.682415376,0.394176961,0.791946611,A,5
1,2.025484691,0.199928358,0.633375845,A,4
0,1.90848513,0.124434156,0.4956664,A,2
1,2.034897377,0.211039606,0.648247879,A,4
0,2.557646326,0.113762874,0.469428308,A,1
0,7.091797606,0.100113237,0.432653626,A,1
2,1.051052674,0.185737386,0.612704091,A,4
1,0.434641154,0.138440209,0.527108104,A,2
2,1.927445523,0.16537199,0.579306202,A,3
2,2.529957275,0.170288117,0.587805132,A,3
0,1.96729186,0.130574886,0.509850162,A,2
1,3.689955759,0.131668551,0.512309723,A,2
1,0.027772882,0.156598285,0.563389214,A,3
1,1.747601635,0.264804039,0.706976775,A,5
2,0.442156377,0.089866799,0.402427546,A,1
2,0.197775125,0.209627837,0.646418168,A,4
0,2.34717445,0.188846672,0.617404325,A,4
0,2.313034997,0.252900268,0.695611974,A,5
0,7.1346338,0.14636181,0.543519942,A,2
1,7.473595661,0.191667635,0.621583803,A,4
1,1.632093913,0.183937274,0.609937084,A,4
2,3.927614748,0.133052963,0.515394992,A,2
1,3.654369264,0.267977334,0.709871484,A,5
0,4.487602283,0.262937491,0.705248255,A,5
0,2.891904839,0.218730579,0.657924749,A,4
2,0.175866932,0.311839509,0.744867077,A,5
1,0.447991799,0.206675483,0.642536474,A,4
1,7.783275885,0.099198054,0.430049197,A,1
0,3.81086993,0.131426678,0.51176747,A,2
1,0.817412093,0.101282155,0.435953845,A,1
1,0.272461354,0.136782904,0.523553632,A,2
2,5.931367963,0.128973713,0.506213426,A,2
1,3.5746741,0.168107159,0.584070739,A,3
1,0.216519757,0.114822404,0.472127843,A,1
1,4.743717712,0.176084992,0.597459965,A,3
0,1.754104071,0.127220452,0.502181787,A,2
1,0.858604003,0.335180833,0.760287466,A,5
0,5.052653458,0.220178431,0.65969301,A,4
1,0.42776792,0.237893946,0.680052635,A,5
0,2.677754043,0.192756825,0.623176324,A,4
0,1.5570874,0.323961834,0.75311624,A,5
0,6.861446137,0.128183227,0.504402141,A,2
0,10,0.137427621,0.524941476,A,2
1,1.913993505,0.293145237,0.731015203,A,5
2,9.601719465,0.127418474,0.502639754,A,2
2,0.989876085,0.152140279,0.554914479,A,3
0,0.213375311,0.14126423,0.533067094,A,2
1,0.412965838,0.1454392,0.54165647,A,2
0,0.24877585,0.147836947,0.546473812,A,3
0,0.623499445,0.201427721,0.635447152,A,4
2,4.328976409,0.153980056,0.558444562,A,3
1,0.948608679,0.135013165,0.519710322,A,2
1,1.611164798,0.282865299,0.7227506,A,5
1,3.514814096,0.151702826,0.55406827,A,3
0,1.780693641,0.15384301,0.558183198,A,3
1,2.544029774,0.158805309,0.56748647,A,3
2,0.489199279,0.219822808,0.659260219,A,4
1,0.209925714,0.16050571,0.570599822,A,3
1,2.700104151,0.162829169,0.574793989,A,3
1,7.034809177,0.125850046,0.498994033,A,2
0,5.969409345,0.145190572,0.541152173,A,2
2,4.944635383,0.169324917,0.586162875,A,3
1,0.373644516,0.13060761,0.509924042,A,2
2,0.840128316,0.204456197,0.639568432,A,4
2,0.275281589,0.090052933,0.402998085,A,1
0,2.723989598,0.186863504,0.614417902,A,4
0,0.389832498,0.089404887,0.401008159,A,1
0,1.88690986,0.146549731,0.543897984,A,2
1,1.968679846,0.133813002,0.517075544,A,2
2,3.182600909,0.127347219,0.502475041,A,2
2,2.431396991,0.161579385,0.572546495,A,3
1,0.948295143,0.076861993,0.360460595,A,1
0,2.459289346,0.264644814,0.706830077,A,5
0,0.39455371,0.084924812,0.386975824,A,1
0,0.632577492,0.137324003,0.524718862,A,2
0,9.90576093,0.105782726,0.44839027,A,1
1,2.522861788,0.122416318,0.490863388,A,2
1,0.723054866,0.380932387,0.785612519,A,5
0,1.300671501,0.16645309,0.581200341,A,3
2,0.360282413,0.098813582,0.428949637,A,1
2,0.799568736,0.085756601,0.389617983,A,1
2,0.743603448,0.19791351,0.630559601,A,4
1,0.324194761,0.164076264,0.577017023,A,3
2,0.123896688,0.145551202,0.541883351,A,2
2,1.461732909,0.113978567,0.469979603,A,1
1,1.601238944,0.091174126,0.406417524,A,1
2,2.376176043,0.10752016,0.453079035,A,1
0,0.401394334,0.246599805,0.689254805,A,5
2,2.512982725,0.12892729,0.506107345,A,2
0,2.683211044,0.095010227,0.417896635,A,1
1,0.67965824,0.34913949,0.768641789,A,5
2,3.072364843,0.195937441,0.62776045,A,4
1,0.260886341,0.150249379,0.551237639,A,3
1,4.248734115,0.252433664,0.69514955,A,5
2,0.201025636,0.235644506,0.677592451,A,5
2,3.565128469,0.129031693,0.506345865,A,2
1,0.703097679,0.399493009,0.794380617,A,5
1,4.705734511,0.149268167,0.549309979,A,3
1,0.543406753,0.093499624,0.41341661,A,1
1,1.183328602,0.156021753,0.562308294,A,3
1,5.354541946,0.179606907,0.603139543,A,3
2,0.592626959,0.416108748,0.801618215,A,5
1,2.883667573,0.172444635,0.591442309,A,3
1,3.313753229,0.198453497,0.631318086,A,4
0,1.980120982,0.160275483,0.570180475,A,3
2,3.904839158,0.144626556,0.540004812,A,2
2,4.197450522,0.163018692,0.575133084,A,3
1,0.050295202,0.226514989,0.667240754,A,4
0,0.968112121,0.379120191,0.78471449,A,5
2,6.840941911,0.249313778,0.692023415,A,5
0,10,0.267981685,0.709875416,A,5
2,0.456912798,0.101010645,0.435189904,A,1
2,3.53787736,0.245013548,0.687615,A,5
2,1.662198571,0.180498993,0.604556437,A,3
2,4.010776756,0.091914176,0.408658439,A,1
1,2.626401812,0.203601444,0.638413622,A,4
0,2.446512566,0.155128443,0.560624687,A,3
2,3.28648699,0.296957848,0.733959216,A,5
1,7.342259072,0.121671219,0.489071599,A,2
2,0.488491562,0.139166433,0.528652206,A,2
0,0.48333291,0.114126956,0.470358358,A,1
0,6.472370843,0.153994008,0.558471156,A,3
1,5.281436336,0.194136203,0.625176427,A,4
0,7.11387054,0.123353721,0.4931036,A,2
0,0.428799912,0.230420188,0.671742239,A,4
1,3.687227707,0.101954044,0.437837561,A,1
1,2.378066405,0.108696709,0.456219397,A,1
0,10,0.294187807,0.731826579,A,5
0,0.595772485,0.110103,0.459936603,A,1
2,2.925933349,0.194911413,0.626292363,A,4
1,1.107559693,0.141928706,0.534451562,A,2
2,7.23856857,0.194710923,0.62600431,A,4
2,4.23441947,0.324830853,0.753687128,A,5
1,3.486576425,0.311808947,0.744845584,A,5
1,3.922740216,0.144805601,0.540369544,A,2
2,1.344321455,0.066264948,0.322970878,A,1
1,3.345748475,0.448908874,0.814441486,A,5
2,1.136742393,0.215849573,0.654356462,A,4
2,3.361204443,0.205261795,0.640650865,A,4
1,1.824228277,0.164415288,0.577617995,A,3
0,0.994226663,0.202714513,0.6372084,A,4
1,0.554112799,0.15478003,0.559965134,A,3
0,6.43570283,0.195592446,0.627267943,A,4
1,4.3375,0.140844519,0.532189165,A,2
2,0.186689897,0.095552146,0.419491219,A,1
1,1.054740934,0.245400259,0.68801625,A,5
1,3.82646969,0.303582466,0.738926625,A,5
1,2.773955896,0.146095286,0.542982891,A,2
2,3.704616539,0.100127,0.432692652,A,1
1,1.781989016,0.213716806,0.651671531,A,4
1,0.311014094,0.162369016,0.573968794,A,3
0,1.215532978,0.082637859,0.379623,A,1
2,1.355893048,0.165439906,0.579425618,A,3
2,3.399773366,0.128462258,0.505042704,A,2
2,0.681716476,0.144224029,0.539183105,A,2
0,2.797795147,0.104076513,0.443725383,A,1
2,0.069565049,0.340022585,0.763253902,A,5
0,0.049620443,0.144792613,0.540343103,A,2
0,1.760826934,0.086968842,0.393438327,A,1
0,10,0.178865237,0.601954921,A,3
2,2.93046169,0.183648855,0.609490579,A,4
