"e","t","r","category"
1,1.33,0.4662,"A"
1,0.95,0.5449,"A"
1,1,0.609,"A"
2,2.5,0.6018,"B"
1,5.05,0.5827,"A"
1,9.44,0.5891,"A"
1,2.53,0.7009,"A"
1,5.91,0.4366,"A"
1,0.7,0.7156,"A"
0,0.75,0.4466,"B"
0,2.05,0.6083,"B"
2,1.59,0.5968,"B"
2,5.48,0.5029,"B"
1,4.02,0.7115,"A"
2,1.37,0.6023,"B"
2,2.5,0.5112,"B"
0,1.35,0.5553,"B"
1,1.54,0.5222,"A"
2,3.89,0.492,"B"
1,2.87,0.7053,"A"
0,0.28,0.6905,"B"
1,0.95,0.5708,"A"
2,4.52,0.446,"B"
2,0.33,0.6791,"B"
1,0.7,0.674,"A"
0,0.75,0.6618,"B"
1,2.61,0.5379,"A"
2,8.06,0.7187,"B"
1,2.52,0.5836,"A"
1,0.18,0.4642,"A"
1,4.68,0.6679,"A"
2,0.16,0.7545,"B"
1,0.55,0.6192,"A"
2,0.41,0.5602,"B"
1,1.83,0.7023,"A"
2,1.67,0.4735,"B"
1,7.47,0.6608,"A"
1,3.15,0.484,"A"
1,0.94,0.6099,"A"
2,1.06,0.3792,"B"
0,8.55,0.4149,"B"
0,0.55,0.7245,"B"
2,2.94,0.6808,"B"
0,5.07,0.4868,"B"
0,0.06,0.6442,"B"
1,0.63,0.6196,"A"
1,1.04,0.5227,"A"
1,1.24,0.53,"A"
1,1.32,0.4286,"A"
1,5.56,0.6007,"A"
2,7.08,0.6917,"B"
1,0.92,0.61,"A"
1,2.66,0.663,"A"
0,0.99,0.7108,"B"
1,2.42,0.6231,"A"
0,14.03,0.4632,"B"
1,3.51,0.5608,"A"
0,2.12,0.6567,"B"
1,2.43,0.7115,"A"
1,14.26,0.6679,"A"
1,0.99,0.6045,"A"
2,0.87,0.475,"B"
1,3.16,0.4788,"A"
0,0.49,0.4629,"B"
1,0.49,0.5026,"A"
2,1.11,0.6947,"B"
1,1.88,0.5333,"A"
0,2.26,0.5249,"B"
1,1.79,0.5547,"A"
2,0.75,0.649,"B"
2,0.06,0.6946,"B"
2,0.99,0.6473,"B"
1,2.88,0.691,"A"
1,1.01,0.648,"A"
0,3.1,0.603,"B"
1,6.89,0.634,"A"
0,13.41,0.5248,"B"
1,2.74,0.5464,"A"
1,1.22,0.5808,"A"
2,4.2,0.6041,"B"
0,2.24,0.4055,"B"
2,7.34,0.6213,"B"
1,0.38,0.5223,"A"
0,4.29,0.6552,"B"
1,3.33,0.4895,"A"
0,5.99,0.5011,"B"
2,2.02,0.3806,"B"
1,0.27,0.7048,"A"
2,0.61,0.6572,"B"
1,5.13,0.5957,"A"
2,0.98,0.7365,"B"
1,0.92,0.3905,"A"
1,0.15,0.7321,"A"
1,2.34,0.4759,"A"
1,3.63,0.4267,"A"
1,5.3,0.4761,"A"
1,0.52,0.4428,"A"
2,2.88,0.3534,"B"
0,3.53,0.4629,"B"
0,1.8,0.5615,"B"
1,2.25,0.6803,"A"
1,2.88,0.6258,"A"
1,0.25,0.434,"A"
1,2.07,0.7735,"A"
1,0.56,0.6261,"A"
1,1.2,0.8232,"A"
2,0.58,0.6347,"B"
1,2.19,0.6053,"A"
1,1.23,0.5871,"A"
1,2.81,0.4635,"A"
2,0.69,0.5009,"B"
1,1.61,0.7467,"A"
1,1.85,0.7659,"A"
2,0.49,0.6582,"B"
1,0.51,0.6545,"A"
1,2.42,0.7107,"A"
0,0.93,0.6062,"B"
1,0.5,0.53,"A"
1,2.4,0.6066,"A"
2,0.28,0.5144,"B"
1,7.82,0.7056,"A"
1,0.13,0.7907,"A"
1,4.36,0.3822,"A"
1,10.63,0.4573,"A"
1,0.25,0.6163,"A"
1,4.2,0.6242,"A"
1,1.53,0.5286,"A"
1,14.64,0.5148,"A"
0,0.88,0.4249,"B"
1,1.44,0.656,"A"
1,1.89,0.7912,"A"
1,2.61,0.5303,"A"
0,4.03,0.4209,"B"
0,1.74,0.5002,"B"
1,0.86,0.6525,"A"
1,0.68,0.8258,"A"
0,5.28,0.5859,"B"
1,1.21,0.5561,"A"
0,3.59,0.4318,"B"
0,5.63,0.4237,"B"
1,0.89,0.6111,"A"
0,15,0.5255,"B"
1,7.44,0.7336,"A"
0,0.26,0.7426,"B"
0,0.16,0.5373,"B"
2,0.23,0.4716,"B"
1,5.72,0.6609,"A"
0,5.39,0.6186,"B"
0,1.83,0.7641,"B"
0,3.01,0.7329,"B"
1,3.7,0.6263,"A"
1,1.11,0.6025,"A"
1,2.91,0.7533,"A"
2,0.59,0.6538,"B"
1,5.96,0.5141,"A"
1,0.32,0.8109,"A"
2,5.27,0.5435,"B"
1,0.55,0.6861,"A"
1,7.17,0.6461,"A"
1,2.01,0.4377,"A"
1,0.77,0.5438,"A"
2,0.08,0.6251,"B"
2,5.74,0.4953,"B"
1,1.08,0.5494,"A"
2,1.45,0.4616,"B"
1,6.63,0.5409,"A"
1,0.34,0.6142,"A"
1,1.15,0.7162,"A"
1,2.26,0.6926,"A"
1,0.76,0.6542,"A"
1,1.95,0.5424,"A"
0,1.84,0.6321,"B"
1,3.77,0.6337,"A"
1,0.41,0.8169,"A"
1,2.28,0.5163,"A"
1,7.86,0.5956,"A"
1,0.13,0.4871,"A"
1,1.96,0.7696,"A"
0,0.46,0.3678,"B"
1,4,0.5145,"A"
1,2.14,0.5761,"A"
1,0.84,0.7606,"A"
1,1.44,0.6644,"A"
1,6.79,0.5236,"A"
1,1.51,0.6173,"A"
1,1.46,0.465,"A"
1,0.69,0.5167,"A"
1,0.14,0.5912,"A"
1,1.67,0.7062,"A"
1,1.58,0.6243,"A"
2,1.26,0.5635,"B"
2,2.71,0.5346,"B"
1,0.18,0.7167,"A"
0,1.46,0.6432,"B"
1,0.69,0.614,"A"
1,2.73,0.6812,"A"
1,2.08,0.4749,"A"
2,1.62,0.5563,"B"
1,3.23,0.3279,"A"
1,5.6,0.6337,"A"
1,1.27,0.4392,"A"
1,2.56,0.7268,"A"
1,2.8,0.4783,"A"
1,0.05,0.6564,"A"
0,1.34,0.4987,"B"
1,2.22,0.6153,"A"
0,1.05,0.5202,"B"
1,1.61,0.7141,"A"
1,10.84,0.5436,"A"
1,0.32,0.6697,"A"
